,id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,Majority,DemPct_2,RepPct_2,Margin_2,Swing
113,3,765863,0.39883048,0.59501497,0.60802829,0.39197171,0.2856303,0.05886113,0.00202869,0.03039107,0.02032965,585106,-0.19618449000000004,White,0.40167124,0.58580392,-0.18413268000000005,-0.012051809999999996
114,4,766044,0.81606986,0.17468571,0.23656764,0.76343236,0.60760743,0.09616862,0.00135237,0.05830564,0.01685854,585638,0.64138415,Black,0.82400112,0.16576207,0.65823905,-0.016854900000000006
115,5,765795,0.76779303,0.22236633,0.40841954,0.59158046,0.40354625,0.11419138,0.00149972,0.06408026,0.01684387,625450,0.5454266999999999,Minority,0.76979413,0.21652628,0.55326785,-0.007841150000000074
116,6,764832,0.86591654,0.12693734,0.13202121,0.86797879,0.7540836,0.08611557,0.00128171,0.0294741,0.01561465,576574,0.7389792,Black,0.87005915,0.12057149,0.74948766,-0.010508460000000053
117,7,765653,0.40590282,0.58489114,0.57671399,0.42328601,0.13202923,0.16706827,0.00132307,0.10966389,0.02203286,583492,-0.17898831999999998,White,0.41210282,0.57340793,-0.16130511000000003,-0.01768320999999995
118,8,764316,0.42866694,0.5672099,0.53927899,0.46072101,0.38020147,0.05156091,0.00107273,0.01813256,0.01571807,587286,-0.13854296000000005,White,0.43160331,0.5590619,-0.12745858999999998,-0.011084370000000066
119,9,764730,0.41533625,0.57501518,0.49690458,0.50309542,0.20777498,0.18535131,0.00140661,0.09942041,0.02350877,572297,-0.15967892999999994,Minority,0.43781838,0.54897507,-0.11115669,-0.04852223999999994
120,10,764596,0.43167008,0.56223971,0.61323854,0.38676146,0.29028545,0.0540965,0.00126013,0.02533508,0.01797568,595972,-0.13056962999999994,White,0.43095658,0.55760003,-0.12664345000000005,-0.00392617999999989
121,11,765417,0.37816718,0.61220588,0.72420777,0.27579223,0.1129447,0.08906916,0.0012576,0.04983627,0.02201389,586039,-0.2340387,White,0.37585867,0.60740613,-0.23154745999999998,-0.0024912400000000057
122,12,764681,0.42323099,0.57187,0.55585832,0.44414168,0.35678107,0.04771543,0.00224278,0.02637315,0.01757298,584989,-0.14863901000000002,White,0.43858989,0.54905771,-0.11046782000000005,-0.038171189999999966
123,13,765884,0.41255926,0.57621022,0.66199766,0.33800234,0.09618783,0.08787282,0.00116997,0.13536459,0.01680156,582922,-0.16365096,White,0.42508385,0.56138535,-0.13630150000000002,-0.027349459999999992
124,14,764471,0.28535518,0.7090471,0.73707212,0.26292788,0.12390313,0.10009451,0.00108652,0.01428172,0.02802191,579832,-0.42369192000000006,White,0.27693134,0.70995733,-0.43302599,0.009334069999999972
125,1,727502,0.59628087,0.38242165,0.31815095,0.68184905,0.02401282,0.09569419,0.28379491,0.4325984,0.03034013,568488,0.21385921999999996,Asian,0.63551047,0.34131755,0.29419292,-0.08033370000000006
